ts_utc,station_code,location_code,naam,fietsen,open,lat,lng,gebied
2026-09-24T07:51:52Z,ASD,asd010,Amsterdam Centraal Stationsplein,137,Yes,52.378482,4.897678,Amsterdam Centraal
2026-09-24T07:51:52Z,BSD,bsd001,Beesd,3,Yes,51.899378,5.195893,Regio Den Bosch
2026-09-24T07:51:52Z,GDM,gdm001,Geldermalsen,0,Yes,51.881767,5.270973,Regio Den Bosch
2026-09-24T07:51:52Z,HTO,Hto001,'s-Hertogenbosch Oost,2,Yes,51.700711,5.318865,Regio Den Bosch
2026-09-24T07:51:52Z,LEDN,ledn001,"Leiden Centraal,Uitgang LUMC",2,Yes,52.165578,4.48155,Leiden Centraal
2026-09-24T07:51:52Z,BSLC,Ow002,Uden,7,Yes,51.660336,5.617622,Regio Den Bosch
2026-09-24T07:51:52Z,OW,ow001,Oss West,7,Yes,51.758646,5.507076,Regio Den Bosch
2026-09-24T07:51:52Z,RS,rs001,Rosmalen,1,Yes,51.715439,5.369477,Regio Den Bosch
2026-09-24T07:51:52Z,RTD,rtd001,Rotterdam Centraal,133,Yes,51.923421,4.469738,Rotterdam Centraal
2026-09-24T07:51:52Z,SHL,shl001,Schiphol,5,Yes,52.309265,4.759774,Schiphol Airport
2026-09-24T07:51:52Z,TBR,tbr001,Tilburg Reeshof,1,Yes,51.573442,4.993904,Tilburg
2026-09-24T07:51:52Z,TBU,tbu001,Tilburg West Universiteit,14,Yes,51.56519,5.052541,Tilburg
2026-09-24T07:51:52Z,UT,ut020,Utrecht Centraal Stationsplein,1,Yes,52.090746,5.110702,Utrecht Centraal
2026-09-24T07:51:52Z,UT,ut016,Utrecht Centraal Jaarbeursplein,3,Yes,52.08895,5.10756,Utrecht Centraal
2026-09-24T07:51:52Z,VG,Vg001,Vught,5,Yes,51.650022,5.292163,Regio Den Bosch
2026-09-24T07:51:52Z,UT,ut021,Utrecht Centraal Knoop,0,Yes,52.087374,5.109469,Utrecht Centraal
2026-09-24T07:51:52Z,ASD,asd002,Amsterdam Centraal Oost,29,Yes,52.37785,4.902062,Amsterdam Centraal
2026-09-24T07:51:52Z,OT,Ot001,Oisterwijk,3,Yes,51.582096,5.194357,Regio Den Bosch
2026-09-24T07:51:52Z,BET,bet001,Best,10,Yes,51.50841,5.38957,Regio Den Bosch
2026-09-24T07:51:52Z,LEDN,ledn002,"Leiden Centraal, Centrumzijde",14,Yes,52.16557,4.48259,Leiden Centraal
2026-09-24T07:51:52Z,EHV,ehv003,Eindhoven Centraal noord (bussen),0,Yes,51.443676,5.480101,Eindhoven Centraal
2026-09-24T07:51:52Z,BTL,btl001,Boxtel,4,Yes,51.58515,5.318988,Regio Den Bosch
